FECHA (YYMMDD);HORA (HHMM);;
250729;1000;0,638017;
250729;1100;1,29154;
250729;1200;1,16735;
250729;1300;0,617499;
250729;1400;0,438608;
250729;1500;1,39174;
250729;1600;0,960086;
250729;1700;0,617973;
250729;1800;0,202927;
250729;1900;1,59502;
250729;2000;1,82544;
250729;2100;2,17162;
250729;2200;0,264704;
250729;2300;0,988901;
250730;0000;0,432733;
250730;0100;3,84607;
250730;0200;1,71268;
250730;0300;0,479811;
250730;0400;0,82689;
250730;0500;0,927924;
250730;0600;1,44958;
250730;0700;1,109;
250730;0800;1,59963;
250730;0900;2,06171;
250730;1000;1,84824;
250730;1100;2,90621;
250730;1200;3,75488;
250730;1300;3,58501;
250730;1400;3,68376;
250730;1500;3,72718;
250730;1600;1,54637;
250730;1700;1,17868;
250730;1800;1,6315;
250730;1900;2,11782;
250730;2000;3,16336;
250730;2100;3,71693;
250730;2200;4,03566;
250730;2300;4,64541;
250731;0000;5,01074;
250731;0100;3,95133;
250731;0200;3,68793;
250731;0300;2,99797;
250731;0400;3,48687;
250731;0500;2,64656;
250731;0600;4,62345;
250731;0700;3,6032;
250731;0800;2,66836;
250731;0900;2,98655;
250731;1000;1,93999;
250731;1100;2,76063;
250731;1200;3,07562;
250731;1300;2,86453;
250731;1400;2,61331;
250731;1500;3,54729;
250731;1600;2,65222;
250731;1700;2,82943;
250731;1800;2,40707;
250731;1900;2,41128;
250731;2000;2,76217;
250731;2100;2,80054;
250731;2200;3,12409;
250731;2300;2,99989;
250801;0000;2,24746;
250801;0100;1,58038;
250801;0200;0,614501;
250801;0300;1,84564;
250801;0400;2,05232;
250801;0500;1,8811;
250801;0600;2,85135;
250801;0700;3,09241;
250801;0800;2,43505;
250801;0900;1,86186;
250801;1000;1,76082;
250801;1100;2,62794;
250801;1200;2,45952;
250801;1300;3,65481;
250801;1400;4,06689;
250801;1500;4,70816;
250801;1600;4,64878;
250801;1700;3,41095;
250801;1800;3,13199;
250801;1900;2,89613;
250801;2000;4,2817;
250801;2100;1,70108;
250801;2200;1,18377;
250801;2300;1,22564;
250802;0000;2,12913;
250802;0100;1,76052;
250802;0200;2,00686;
250802;0300;2,30762;
250802;0400;1,23735;
250802;0500;1,91619;
250802;0600;1,83873;
250802;0700;1,62583;
250802;0800;1,93566;
250802;0900;1,74704;
250802;1000;2,28481;
250802;1100;1,77271;
250802;1200;2,2786;
250802;1300;1,70349;
250802;1400;2,19102;
250802;1500;2,35458;
250802;1600;1,79988;
250802;1700;0,965499;
250802;1800;0,901295;
250802;1900;0,914577;
250802;2000;0,407067;
250802;2100;0,331222;
250802;2200;0,150309;
250802;2300;0,191223;
250803;0000;0,296975;
250803;0100;0,225714;
250803;0200;0,201586;
250803;0300;0,0930017;
250803;0400;0,122866;
250803;0500;0,683948;
250803;0600;0,656015;
250803;0700;0,214787;
250803;0800;0,544698;
250803;0900;0,21987;
250803;1000;0,157882;
250803;1100;0,944943;
250803;1200;1,15846;
250803;1300;0,940096;
250803;1400;0,589764;
250803;1500;0,566638;
250803;1600;0,698024;
250803;1700;0,674263;
250803;1800;0,504765;
250803;1900;0,348214;
250803;2000;0,272894;
250803;2100;0,207425;
250803;2200;1,2458;
250803;2300;1,3597;
250804;0000;0,990513;
250804;0100;1,45158;
250804;0200;1,08997;
250804;0300;0,693733;
250804;0400;1,0514;
250804;0500;0,785947;
250804;0600;1,02761;
250804;0700;0,753073;
250804;0800;1,11182;
250804;0900;0,99526;
250804;1000;0,821227;
250804;1100;0,99905;
250804;1200;0,929741;
250804;1300;1,47907;
250804;1400;1,47535;
250804;1500;1,31168;
250804;1600;0,926389;
250804;1700;0,281169;
250804;1800;0,417723;
250804;1900;0,0362472;
250804;2000;0,204636;
250804;2100;0,197047;
250804;2200;0,256143;
250804;2300;0,286691;
250805;0000;0,610814;
250805;0100;0,0986893;
250805;0200;0,409809;
250805;0300;0,19835;
250805;0400;0,0704185;
250805;0500;1,0177;
250805;0600;0,623411;
250805;0700;0,0823288;
250805;0800;0,259339;
250805;0900;1,02393;
250805;1000;1,15888;
250805;1100;0,343799;
250805;1200;1,52137;
250805;1300;1,38129;
250805;1400;1,50769;
250805;1500;;
250805;1600;2,6279;
250805;1700;1,60448;
250805;1800;0,79111;
250805;1900;0,367555;
250805;2000;0,382578;
250805;2100;0,767747;
250805;2200;0,846042;
250805;2300;0,540716;
