TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,20-07-2025
Start Time:,17:39:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,83
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:39:56
,Date of Minimum:,20-07-2025
,Maximum:,0.000
,Time of Maximum:,17:39:56
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
20-07-2025,18:06:36,0.355
20-07-2025,18:06:37,0.349
20-07-2025,18:06:38,0.350
20-07-2025,18:06:39,0.349
20-07-2025,18:06:40,0.348
20-07-2025,18:06:41,0.347
20-07-2025,18:06:42,0.352
20-07-2025,18:06:43,0.352
20-07-2025,18:06:44,0.351
20-07-2025,18:06:45,0.343
20-07-2025,18:06:46,0.344
20-07-2025,18:06:47,0.348
20-07-2025,18:06:48,0.340
20-07-2025,18:06:49,0.339
20-07-2025,18:06:50,0.331
20-07-2025,18:06:51,0.331
20-07-2025,18:06:52,0.339
20-07-2025,18:06:53,0.338
20-07-2025,18:06:54,0.348
20-07-2025,18:06:55,0.348
20-07-2025,18:06:56,0.344
20-07-2025,18:06:57,0.346
20-07-2025,18:06:58,0.340
20-07-2025,18:06:59,0.337
20-07-2025,18:07:00,0.334
20-07-2025,18:07:01,0.329
20-07-2025,18:07:02,0.332
20-07-2025,18:07:03,0.341
20-07-2025,18:07:04,0.344
20-07-2025,18:07:05,0.344
20-07-2025,18:07:06,0.339
20-07-2025,18:07:07,0.328
20-07-2025,18:07:08,0.335
20-07-2025,18:07:09,0.333
20-07-2025,18:07:10,0.339
20-07-2025,18:07:11,0.341
20-07-2025,18:07:12,0.338
20-07-2025,18:07:13,0.339
20-07-2025,18:07:14,0.345
20-07-2025,18:07:15,0.349
20-07-2025,18:07:16,0.349
20-07-2025,18:07:17,0.354
20-07-2025,18:07:18,0.350
20-07-2025,18:07:19,0.342
20-07-2025,18:07:20,0.352
